20,20
[floor1]
A1,UP,D1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
K6,K1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,K5,0
-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,UP,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0
-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1
-1,0,-1,0,-1,0,-1,-1,-1,D1,D1,-1,-1,-1,0,-1,-1,0,-1,0
-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0
-1,0,-1,0,-1,0,-1,0,-1,D4,-1,-1,0,-1,0,-1,0,-1,0,0
-1,0,-1,0,-1,0,-1,0,-1,0,K4,-1,0,-1,0,-1,0,0,0,0
-1,0,-1,0,-1,0,-1,0,-1,T1,UP,-1,0,-1,0,D3,0,0,0,-1
-1,0,-1,0,-1,0,-1,K2,-1,D5,-1,-1,0,-1,0,D3,0,0,0,0
-1,0,-1,0,-1,0,-1,0,0,0,0,0,UP,-1,0,-1,0,0,0,0
-1,0,-1,0,-1,0,-1,-1,-1,D2,D2,-1,-1,-1,0,-1,0,-1,0,-1
-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0
0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,-1,0,0,0,D1,D1,0,0,0,0,0,0,0,-1,0
0,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,D1,UP,0
0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,K3
[floor2]
0,DO,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
0,0,K7,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,DO,0
0,0,0,0,0,0,0,0,0,0,D7,0,0,0,0,0,0,0,0,0
0,0,0,0,-1,-1,D6,D6,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,D8
0,0,0,0,-1,0,-1,-1,-1,-1,-1,D6,D6,-1,0,-1,0,0,-1,0
0,0,0,0,-1,0,-1,0,0,0,D5,0,0,D6,0,-1,0,0,0,0
0,0,0,0,-1,0,-1,0,-1,D3,-1,-1,0,D6,0,-1,0,0,0,0
0,0,0,0,-1,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,0,0,0
0,0,0,0,-1,0,-1,0,-1,0,DO,-1,0,-1,0,D6,0,0,0,0
-1,D4,0,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1,0,D6,0,0,0,0
0,0,0,0,-1,0,-1,0,0,0,0,0,DO,-1,0,-1,0,0,0,0
0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0
0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0
0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,K8,0,0,0,0,0,0,0,DO,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
