20,20
[floor1]
A1,0,D1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
D1,K1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,K5,0
-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0
-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1
-1,0,-1,0,-1,0,-1,-1,-1,D1,D1,-1,-1,-1,0,-1,-1,0,-1,0
-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0
-1,0,-1,0,-1,0,-1,0,-1,D4,-1,-1,0,-1,0,-1,0,-1,0,0
-1,0,-1,0,-1,0,-1,0,-1,0,K4,-1,0,-1,0,-1,0,0,0,0
-1,0,-1,0,-1,0,-1,0,-1,T1,0,-1,0,-1,0,D3,0,0,0,-1
-1,0,-1,0,-1,0,-1,K2,-1,D5,-1,-1,0,-1,0,D3,0,0,0,0
-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0
-1,0,-1,0,-1,0,-1,-1,-1,D2,D2,-1,-1,-1,0,-1,0,-1,0,-1
-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0
0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,-1,0,0,0,D1,D1,0,0,0,0,0,0,0,-1,0
0,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,D1,0,0
0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,K3
