20,20
[floor1]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UP,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0
-1,0,A1,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0
-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0
0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0
0,0,0,0,0,0,0,0,-1,-1,0,D2,D2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,0,0,0,0
0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0
D1,D1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,UP,0
K2,UP,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,K1
-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0
0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
0,0,D3,0,-1,0,0,-1,-1,0,0,0,0,0,T1,-1,0,0,0,0
0,0,D3,UP,K4,-1,-1,-1,0,0,0,UP,-1,-1,-1,-1,0,0,0,0
0,0,D3,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0
K3,-1,-1,-1,0,0,0,0,0,0,0,0,0,D4,-1,0,0,0,0,0
[floor2]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DO,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0
-1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0
-1,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0
0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0
0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,0,0,0,0
0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0
0,0,K6,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,DO,0
0,DO,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0
-1,D6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
-1,0,0,0,K5,0,0,0,0,0,0,0,0,0,0,0,0,D5,0,0
0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0
0,0,0,0,-1,0,0,0,0,0,0,D5,0,0,0,0,0,0,0,0
0,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
0,0,0,0,-1,0,0,-1,-1,0,0,K7,D7,D7,0,-1,0,0,0,0
0,0,0,DO,0,-1,-1,-1,0,0,0,DO,-1,-1,-1,-1,0,0,0,0
0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0
0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
