20,20
[floor1]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0
-1,0,A1,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0
-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0
0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0
0,0,0,0,0,0,0,0,-1,-1,0,D2,D2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,0,0,0,0
0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0
D1,D1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
K2,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,K1
-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0
0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
0,0,D3,0,-1,0,0,-1,-1,0,0,0,0,0,T1,-1,0,0,0,0
0,0,D3,0,K4,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0
0,0,D3,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0
K3,-1,-1,-1,0,0,0,0,0,0,0,0,0,D4,-1,0,0,0,0,0
