19,19
[floor1]
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,A1,0,-1,0,0,0,0,K1,-1,0,0,D3,0,0,-1,0,0,-1
-1,0,0,0,0,0,-1,0,0,D2,0,0,-1,0,0,D5,K4,0,-1
-1,-1,0,-1,-1,-1,-1,D1,-1,-1,-1,-1,-1,-1,-1,-1,D4,-1,-1
-1,0,0,-1,0,0,-1,0,0,D5,0,0,-1,0,0,-1,0,0,-1
-1,0,0,D1,0,0,-1,0,K5,-1,0,0,-1,0,0,D3,0,0,-1
-1,D1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,D4,-1
-1,0,0,-1,0,0,-1,0,0,D3,0,0,-1,0,0,0,0,0,-1
-1,0,K3,D5,K2,0,D2,0,0,-1,0,0,D7,0,0,-1,0,0,-1
-1,D3,-1,-1,-1,D6,-1,-1,-1,-1,D4,-1,-1,-1,-1,-1,D2,-1,-1
-1,0,0,-1,0,0,-1,0,0,-1,0,0,D6,0,0,0,0,0,-1
-1,0,0,-1,0,0,-1,0,0,-1,0,K6,-1,0,0,-1,0,0,-1
-1,-1,-1,-1,-1,D4,-1,-1,-1,-1,D2,-1,-1,-1,D3,-1,-1,-1,-1
-1,0,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,D7,0,0,-1
-1,0,0,D1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,K9,0,-1
-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,D9,-1
-1,0,0,D7,0,0,-1,0,0,-1,0,0,D4,0,0,D8,0,0,-1
-1,K7,0,-1,0,0,0,0,0,-1,0,0,-1,K8,0,-1,0,T1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
